country,date,type,median,lower_90,upper_90,lower_50,upper_50,prob_control
South Korea,2020-04-16,nowcast,0.7,0.4,0.9,0.6,0.8,0.96
South Korea,2020-04-17,nowcast,0.7,0.4,1,0.6,0.8,0.93
South Korea,2020-04-18,nowcast,0.7,0.4,1.1,0.6,0.8,0.9
South Korea,2020-04-19,nowcast,0.8,0.5,1.1,0.6,0.8,0.86
South Korea,2020-04-20,nowcast,0.8,0.5,1.2,0.6,0.9,0.79
South Korea,2020-04-21,nowcast,0.8,0.5,1.3,0.7,0.9,0.74
South Korea,2020-04-22,nowcast,0.9,0.6,1.3,0.7,1,0.66
South Korea,2020-04-23,nowcast,0.9,0.6,1.4,0.7,1,0.6
South Korea,2020-04-24,nowcast,1,0.6,1.4,0.8,1.1,0.55
South Korea,2020-04-25,nowcast,1,0.6,1.4,0.8,1.1,0.47
South Korea,2020-04-26,nowcast,1.1,0.6,1.5,0.9,1.2,0.41
South Korea,2020-04-27,nowcast,1.1,0.7,1.6,0.9,1.2,0.36
South Korea,2020-04-28,nowcast,1.1,0.7,1.6,0.9,1.2,0.28
South Korea,2020-04-29,nowcast,1.2,0.8,1.6,1,1.3,0.21
South Korea,2020-04-30,nowcast,1.2,0.8,1.7,1,1.3,0.15
South Korea,2020-05-01,nowcast,1.2,0.9,1.7,1.1,1.4,0.12
South Korea,2020-05-02,nowcast,1.3,0.9,1.7,1.1,1.4,0.09
South Korea,2020-05-03,nowcast,1.3,1,1.8,1.1,1.4,0.06
South Korea,2020-05-04,nowcast,1.3,1,1.8,1.2,1.5,0.05
South Korea,2020-05-05,nowcast,1.3,1,1.7,1.2,1.5,0.04
South Korea,2020-05-06,nowcast,1.3,0.9,1.7,1.1,1.4,0.07
South Korea,2020-05-07,nowcast,1.3,0.9,1.6,1.1,1.4,0.1
South Korea,2020-05-08,nowcast,1.2,0.9,1.5,1,1.3,0.15
South Korea,2020-05-09,nowcast,1.1,0.8,1.4,1,1.3,0.22
South Korea,2020-05-10,nowcast,1.1,0.8,1.4,1,1.2,0.28
South Korea,2020-05-11,nowcast,1.1,0.8,1.3,0.9,1.2,0.36
South Korea,2020-05-12,nowcast,1,0.8,1.3,0.9,1.2,0.38
South Korea,2020-05-13,nowcast,1,0.8,1.3,0.9,1.2,0.39
South Korea,2020-05-14,nowcast,1.1,0.8,1.3,0.9,1.1,0.34
South Korea,2020-05-15,nowcast,1.1,0.8,1.4,1,1.2,0.28
South Korea,2020-05-16,nowcast,1.1,0.8,1.4,1,1.2,0.2
South Korea,2020-05-17,nowcast,1.2,0.9,1.5,1,1.3,0.15
South Korea,2020-05-18,nowcast,1.2,0.9,1.5,1.1,1.3,0.1
South Korea,2020-05-19,nowcast,1.2,0.9,1.5,1.1,1.3,0.07
South Korea,2020-05-20,nowcast,1.2,1,1.5,1.1,1.3,0.05
South Korea,2020-05-21,nowcast,1.3,1,1.5,1.2,1.4,0.04
South Korea,2020-05-22,nowcast,1.3,1,1.6,1.1,1.3,0.03
South Korea,2020-05-23,nowcast,1.3,1,1.5,1.2,1.4,0.05
South Korea,2020-05-24,nowcast,1.2,1,1.5,1.1,1.3,0.05
South Korea,2020-05-25,forecast,1.2,0.9,1.6,1.1,1.4,0.12
South Korea,2020-05-26,forecast,1.2,0.9,1.6,1.1,1.4,0.14
South Korea,2020-05-27,forecast,1.2,0.8,1.7,1,1.4,0.18
South Korea,2020-05-28,forecast,1.2,0.8,1.7,1.1,1.4,0.18
South Korea,2020-05-29,forecast,1.2,0.8,1.8,1,1.4,0.19
South Korea,2020-05-30,forecast,1.2,0.7,1.7,1,1.4,0.21
South Korea,2020-05-31,forecast,1.2,0.7,1.7,1,1.4,0.22
South Korea,2020-06-01,forecast,1.2,0.7,1.8,1,1.4,0.24
South Korea,2020-06-02,forecast,1.2,0.6,1.8,1,1.5,0.23
South Korea,2020-06-03,forecast,1.2,0.6,1.9,1,1.4,0.26
South Korea,2020-06-04,forecast,1.2,0.6,1.8,1,1.5,0.26
South Korea,2020-06-05,forecast,1.2,0.6,1.9,1,1.4,0.26
South Korea,2020-06-06,forecast,1.2,0.6,1.9,1,1.5,0.25
South Korea,2020-06-07,forecast,1.2,0.6,1.9,1,1.5,0.27
South Sudan,2020-04-29,nowcast,1.4,0.9,2,1.2,1.6,0.06
South Sudan,2020-04-30,nowcast,1.4,0.9,1.9,1.2,1.6,0.05
South Sudan,2020-05-01,nowcast,1.4,1,1.9,1.2,1.6,0.03
South Sudan,2020-05-02,nowcast,1.4,1,1.9,1.2,1.6,0.04
South Sudan,2020-05-03,nowcast,1.4,1,1.9,1.2,1.5,0.04
South Sudan,2020-05-04,nowcast,1.4,1,1.8,1.2,1.5,0.04
South Sudan,2020-05-05,nowcast,1.3,0.9,1.7,1.2,1.4,0.06
South Sudan,2020-05-06,nowcast,1.3,0.9,1.6,1.2,1.4,0.08
South Sudan,2020-05-07,nowcast,1.3,0.9,1.6,1.1,1.4,0.08
South Sudan,2020-05-08,nowcast,1.3,1,1.6,1.1,1.4,0.07
South Sudan,2020-05-09,nowcast,1.3,1,1.6,1.2,1.4,0.06
South Sudan,2020-05-10,nowcast,1.3,1,1.6,1.2,1.4,0.04
South Sudan,2020-05-11,nowcast,1.3,1,1.6,1.2,1.4,0.03
South Sudan,2020-05-12,nowcast,1.3,1.1,1.7,1.2,1.4,0.02
South Sudan,2020-05-13,nowcast,1.4,1.1,1.7,1.2,1.5,0.01
South Sudan,2020-05-14,nowcast,1.4,1.1,1.7,1.3,1.5,0
South Sudan,2020-05-15,nowcast,1.4,1.1,1.7,1.3,1.5,0
South Sudan,2020-05-16,nowcast,1.5,1.2,1.7,1.3,1.5,0
South Sudan,2020-05-17,nowcast,1.5,1.2,1.8,1.3,1.5,0
South Sudan,2020-05-18,nowcast,1.4,1.2,1.7,1.3,1.5,0
South Sudan,2020-05-19,nowcast,1.4,1.1,1.7,1.3,1.5,0.01
South Sudan,2020-05-20,nowcast,1.4,1.1,1.6,1.3,1.5,0.02
South Sudan,2020-05-21,forecast,1.4,1,1.7,1.2,1.5,0.03
South Sudan,2020-05-22,forecast,1.4,1,1.8,1.2,1.5,0.05
South Sudan,2020-05-23,forecast,1.4,1,1.9,1.2,1.6,0.07
South Sudan,2020-05-24,forecast,1.4,0.9,1.8,1.2,1.5,0.08
South Sudan,2020-05-25,forecast,1.4,0.9,1.8,1.2,1.6,0.09
South Sudan,2020-05-26,forecast,1.4,0.8,1.9,1.2,1.6,0.1
South Sudan,2020-05-27,forecast,1.4,0.9,2,1.1,1.6,0.11
South Sudan,2020-05-28,forecast,1.4,0.8,1.9,1.2,1.6,0.12
South Sudan,2020-05-29,forecast,1.4,0.8,2,1.1,1.6,0.12
South Sudan,2020-05-30,forecast,1.4,0.8,2,1.2,1.6,0.13
South Sudan,2020-05-31,forecast,1.4,0.8,2,1.1,1.6,0.15
South Sudan,2020-06-01,forecast,1.4,0.7,2,1.1,1.6,0.16
South Sudan,2020-06-02,forecast,1.4,0.7,2,1.2,1.7,0.16
South Sudan,2020-06-03,forecast,1.4,0.7,2,1.2,1.7,0.16
Spain,2020-02-26,nowcast,2,1.6,2.4,1.8,2.1,0
Spain,2020-02-27,nowcast,1.9,1.6,2.3,1.8,2.1,0
Spain,2020-02-28,nowcast,1.9,1.6,2.3,1.7,2,0
Spain,2020-02-29,nowcast,1.9,1.6,2.2,1.7,2,0
Spain,2020-03-01,nowcast,1.8,1.5,2.2,1.7,1.9,0
Spain,2020-03-02,nowcast,1.8,1.6,2.2,1.7,1.9,0
Spain,2020-03-03,nowcast,1.8,1.5,2.1,1.6,1.9,0
Spain,2020-03-04,nowcast,1.8,1.5,2.1,1.6,1.8,0
Spain,2020-03-05,nowcast,1.7,1.5,2,1.6,1.8,0
Spain,2020-03-06,nowcast,1.7,1.5,2,1.6,1.8,0
Spain,2020-03-07,nowcast,1.6,1.4,1.9,1.5,1.7,0
Spain,2020-03-08,nowcast,1.6,1.4,1.8,1.5,1.7,0
Spain,2020-03-09,nowcast,1.6,1.4,1.8,1.5,1.6,0
Spain,2020-03-10,nowcast,1.5,1.4,1.7,1.4,1.6,0
Spain,2020-03-11,nowcast,1.5,1.3,1.7,1.4,1.6,0
Spain,2020-03-12,nowcast,1.5,1.3,1.6,1.4,1.5,0
Spain,2020-03-13,nowcast,1.4,1.3,1.6,1.4,1.5,0
Spain,2020-03-14,nowcast,1.4,1.3,1.6,1.3,1.4,0
Spain,2020-03-15,nowcast,1.4,1.2,1.5,1.3,1.4,0
Spain,2020-03-16,nowcast,1.3,1.2,1.5,1.3,1.4,0
Spain,2020-03-17,nowcast,1.3,1.2,1.4,1.2,1.3,0
Spain,2020-03-18,nowcast,1.2,1.1,1.4,1.2,1.3,0
Spain,2020-03-19,nowcast,1.2,1.1,1.3,1.2,1.2,0
Spain,2020-03-20,nowcast,1.2,1.1,1.3,1.1,1.2,0
Spain,2020-03-21,nowcast,1.1,1,1.2,1.1,1.2,0
Spain,2020-03-22,nowcast,1.1,1,1.2,1,1.1,0.03
Spain,2020-03-23,nowcast,1,1,1.1,1,1.1,0.19
Spain,2020-03-24,nowcast,1,0.9,1,1,1,0.64
Spain,2020-03-25,nowcast,1,0.9,1,0.9,1,0.95
Spain,2020-03-26,nowcast,0.9,0.9,1,0.9,0.9,1
Spain,2020-03-27,nowcast,0.9,0.9,0.9,0.9,0.9,1
Spain,2020-03-28,nowcast,0.9,0.9,0.9,0.9,0.9,1
Spain,2020-03-29,nowcast,0.9,0.8,0.9,0.9,0.9,1
Spain,2020-03-30,nowcast,0.9,0.8,0.9,0.9,0.9,1
Spain,2020-03-31,nowcast,0.8,0.8,0.9,0.8,0.9,1
Spain,2020-04-01,nowcast,0.8,0.8,0.9,0.8,0.8,1
Spain,2020-04-02,nowcast,0.8,0.8,0.9,0.8,0.8,1
Spain,2020-04-03,nowcast,0.8,0.8,0.9,0.8,0.8,1
Spain,2020-04-04,nowcast,0.8,0.8,0.9,0.8,0.8,1
Spain,2020-04-05,nowcast,0.8,0.8,0.9,0.8,0.8,1
Spain,2020-04-06,nowcast,0.8,0.8,0.9,0.8,0.8,1
Spain,2020-04-07,nowcast,0.8,0.8,0.9,0.8,0.8,1
Spain,2020-04-08,nowcast,0.8,0.7,0.8,0.8,0.8,1
Spain,2020-04-09,nowcast,0.8,0.7,0.8,0.8,0.8,1
Spain,2020-04-10,nowcast,0.8,0.7,0.8,0.8,0.8,1
Spain,2020-04-11,nowcast,0.8,0.7,0.8,0.8,0.8,1
Spain,2020-04-12,nowcast,0.8,0.7,0.8,0.8,0.8,1
Spain,2020-04-13,nowcast,0.8,0.7,0.8,0.8,0.8,1
Spain,2020-04-14,nowcast,0.8,0.7,0.8,0.8,0.8,1
Spain,2020-04-15,nowcast,0.8,0.7,0.8,0.8,0.8,1
Spain,2020-04-16,nowcast,0.8,0.7,0.8,0.7,0.8,1
Spain,2020-04-17,nowcast,0.8,0.7,0.8,0.8,0.8,1
Spain,2020-04-18,nowcast,0.8,0.7,0.8,0.8,0.8,1
Spain,2020-04-19,nowcast,0.8,0.7,0.8,0.8,0.8,1
Spain,2020-04-20,nowcast,0.8,0.7,0.8,0.8,0.8,1
Spain,2020-04-21,nowcast,0.8,0.7,0.8,0.7,0.8,1
Spain,2020-04-22,nowcast,0.8,0.7,0.8,0.7,0.8,1
Spain,2020-04-23,nowcast,0.7,0.7,0.8,0.7,0.8,1
Spain,2020-04-24,nowcast,0.7,0.7,0.8,0.7,0.8,1
Spain,2020-04-25,nowcast,0.8,0.7,0.8,0.7,0.8,1
Spain,2020-04-26,nowcast,0.8,0.7,0.8,0.7,0.8,1
Spain,2020-04-27,nowcast,0.8,0.7,0.9,0.7,0.8,1
Spain,2020-04-28,nowcast,0.8,0.7,0.9,0.8,0.8,1
Spain,2020-04-29,nowcast,0.8,0.8,0.9,0.8,0.9,1
Spain,2020-04-30,nowcast,0.9,0.8,0.9,0.8,0.9,1
Spain,2020-05-01,nowcast,0.9,0.8,0.9,0.9,0.9,1
Spain,2020-05-02,nowcast,0.9,0.8,1,0.9,0.9,0.99
Spain,2020-05-03,nowcast,0.9,0.8,1,0.9,0.9,0.98
Spain,2020-05-04,nowcast,0.9,0.8,1,0.9,0.9,0.98
Spain,2020-05-05,nowcast,0.9,0.8,1,0.9,0.9,1
Spain,2020-05-06,nowcast,0.9,0.8,0.9,0.9,0.9,1
Spain,2020-05-07,nowcast,0.8,0.8,0.9,0.8,0.9,1
Spain,2020-05-08,nowcast,0.8,0.7,0.9,0.8,0.8,1
Spain,2020-05-09,nowcast,0.8,0.7,0.9,0.7,0.8,1
Spain,2020-05-10,nowcast,0.8,0.7,0.9,0.8,0.8,1
Spain,2020-05-11,nowcast,0.8,0.7,0.9,0.8,0.8,1
Spain,2020-05-12,nowcast,0.8,0.8,0.9,0.8,0.9,1
Spain,2020-05-13,nowcast,0.9,0.8,1,0.8,0.9,0.98
Spain,2020-05-14,nowcast,0.9,0.8,1,0.9,1,0.93
Spain,2020-05-15,nowcast,1,0.9,1,0.9,1,0.81
Spain,2020-05-16,nowcast,1,0.9,1.1,1,1,0.65
Spain,2020-05-17,nowcast,1,0.9,1.1,1,1,0.55
Spain,2020-05-18,nowcast,1,0.9,1.1,1,1,0.59
Spain,2020-05-19,nowcast,1,0.9,1,1,1,0.7
Spain,2020-05-20,nowcast,1,0.9,1,0.9,1,0.86
Spain,2020-05-21,nowcast,1,0.9,1,0.9,1,0.92
Spain,2020-05-22,nowcast,0.9,0.9,1,0.9,1,0.94
Spain,2020-05-23,nowcast,0.9,0.9,1,0.9,1,0.94
Spain,2020-05-24,forecast,0.9,0.9,1,0.9,1,0.82
Spain,2020-05-25,forecast,0.9,0.8,1.1,0.9,1,0.77
Spain,2020-05-26,forecast,0.9,0.8,1.1,0.9,1,0.74
Spain,2020-05-27,forecast,0.9,0.8,1.1,0.9,1,0.73
Spain,2020-05-28,forecast,0.9,0.8,1.1,0.9,1,0.7
Spain,2020-05-29,forecast,0.9,0.8,1.1,0.9,1,0.68
Spain,2020-05-30,forecast,0.9,0.8,1.1,0.9,1,0.68
Spain,2020-05-31,forecast,0.9,0.8,1.2,0.9,1,0.66
Spain,2020-06-01,forecast,1,0.7,1.1,0.9,1,0.66
Spain,2020-06-02,forecast,1,0.7,1.2,0.9,1,0.65
Spain,2020-06-03,forecast,0.9,0.7,1.2,0.9,1,0.64
Spain,2020-06-04,forecast,1,0.7,1.2,0.9,1,0.63
Spain,2020-06-05,forecast,1,0.7,1.2,0.9,1.1,0.61
Spain,2020-06-06,forecast,1,0.7,1.2,0.9,1.1,0.62
Spain,2020-06-07,forecast,1,0.7,1.2,0.9,1.1,0.6
Sri Lanka,2020-03-15,nowcast,1.2,0.7,1.7,0.9,1.4,0.29
Sri Lanka,2020-03-16,nowcast,1.1,0.6,1.6,0.9,1.3,0.37
Sri Lanka,2020-03-17,nowcast,1,0.5,1.5,0.9,1.2,0.46
Sri Lanka,2020-03-18,nowcast,1,0.5,1.4,0.8,1.2,0.52
Sri Lanka,2020-03-19,nowcast,0.9,0.5,1.4,0.8,1.1,0.59
Sri Lanka,2020-03-20,nowcast,0.9,0.5,1.4,0.7,1.1,0.63
Sri Lanka,2020-03-21,nowcast,0.9,0.4,1.3,0.7,1,0.65
Sri Lanka,2020-03-22,nowcast,0.9,0.5,1.3,0.7,1,0.65
Sri Lanka,2020-03-23,nowcast,0.9,0.5,1.4,0.7,1,0.6
Sri Lanka,2020-03-24,nowcast,1,0.5,1.5,0.7,1.1,0.53
Sri Lanka,2020-03-25,nowcast,1,0.5,1.6,0.8,1.2,0.46
Sri Lanka,2020-03-26,nowcast,1.1,0.6,1.6,0.8,1.2,0.41
Sri Lanka,2020-03-27,nowcast,1.1,0.6,1.6,0.9,1.2,0.37
Sri Lanka,2020-03-28,nowcast,1.1,0.6,1.6,0.9,1.3,0.31
Sri Lanka,2020-03-29,nowcast,1.1,0.7,1.7,0.9,1.3,0.31
Sri Lanka,2020-03-30,nowcast,1.1,0.7,1.7,0.9,1.3,0.31
Sri Lanka,2020-03-31,nowcast,1.1,0.7,1.6,0.9,1.3,0.31
Sri Lanka,2020-04-01,nowcast,1.1,0.7,1.6,1,1.3,0.3
Sri Lanka,2020-04-02,nowcast,1.1,0.7,1.6,1,1.3,0.29
Sri Lanka,2020-04-03,nowcast,1.1,0.7,1.7,1,1.3,0.27
Sri Lanka,2020-04-04,nowcast,1.2,0.7,1.6,1,1.3,0.25
Sri Lanka,2020-04-05,nowcast,1.2,0.8,1.7,1,1.3,0.23
Sri Lanka,2020-04-06,nowcast,1.2,0.7,1.7,1,1.4,0.19
Sri Lanka,2020-04-07,nowcast,1.3,0.8,1.8,1,1.4,0.13
Sri Lanka,2020-04-08,nowcast,1.3,0.9,1.8,1.1,1.4,0.1
Sri Lanka,2020-04-09,nowcast,1.3,0.9,1.9,1.1,1.5,0.06
Sri Lanka,2020-04-10,nowcast,1.4,0.9,1.9,1.2,1.5,0.05
Sri Lanka,2020-04-11,nowcast,1.4,1,1.9,1.2,1.5,0.04
Sri Lanka,2020-04-12,nowcast,1.4,1,1.8,1.2,1.5,0.04
Sri Lanka,2020-04-13,nowcast,1.4,1.1,1.9,1.2,1.5,0.03
Sri Lanka,2020-04-14,nowcast,1.4,1.1,1.8,1.2,1.5,0.02
Sri Lanka,2020-04-15,nowcast,1.4,1,1.8,1.2,1.5,0.02
Sri Lanka,2020-04-16,nowcast,1.4,1.1,1.7,1.2,1.5,0.03
Sri Lanka,2020-04-17,nowcast,1.4,1,1.7,1.2,1.5,0.03
Sri Lanka,2020-04-18,nowcast,1.3,1,1.6,1.2,1.5,0.05
Sri Lanka,2020-04-19,nowcast,1.3,1,1.6,1.1,1.4,0.09
Sri Lanka,2020-04-20,nowcast,1.2,0.9,1.5,1.1,1.3,0.12
Sri Lanka,2020-04-21,nowcast,1.1,0.9,1.4,1,1.3,0.21
Sri Lanka,2020-04-22,nowcast,1.1,0.8,1.3,1,1.2,0.32
Sri Lanka,2020-04-23,nowcast,1,0.7,1.3,0.9,1.1,0.49
Sri Lanka,2020-04-24,nowcast,0.9,0.7,1.2,0.8,1.1,0.66
Sri Lanka,2020-04-25,nowcast,0.9,0.6,1.1,0.8,1,0.8
Sri Lanka,2020-04-26,nowcast,0.8,0.6,1.1,0.7,0.9,0.88
Sri Lanka,2020-04-27,nowcast,0.8,0.6,1,0.7,0.9,0.93
Sri Lanka,2020-04-28,nowcast,0.8,0.6,1,0.7,0.9,0.93
Sri Lanka,2020-04-29,nowcast,0.8,0.6,1,0.7,0.9,0.9
Sri Lanka,2020-04-30,nowcast,0.8,0.6,1.1,0.7,0.9,0.88
Sri Lanka,2020-05-01,nowcast,0.9,0.6,1.1,0.8,0.9,0.84
Sri Lanka,2020-05-02,nowcast,0.9,0.6,1.2,0.7,0.9,0.8
Sri Lanka,2020-05-03,nowcast,0.9,0.6,1.2,0.8,1,0.74
Sri Lanka,2020-05-04,nowcast,0.9,0.7,1.2,0.8,1,0.7
Sri Lanka,2020-05-05,nowcast,0.9,0.7,1.2,0.8,1,0.64
Sri Lanka,2020-05-06,nowcast,1,0.7,1.3,0.8,1,0.57
Sri Lanka,2020-05-07,nowcast,1,0.7,1.3,0.9,1.1,0.47
Sri Lanka,2020-05-08,nowcast,1.1,0.8,1.4,0.9,1.1,0.36
Sri Lanka,2020-05-09,nowcast,1.1,0.8,1.5,1,1.2,0.24
Sri Lanka,2020-05-10,nowcast,1.2,0.9,1.5,1,1.3,0.17
Sri Lanka,2020-05-11,nowcast,1.2,0.9,1.5,1.1,1.3,0.1
Sri Lanka,2020-05-12,nowcast,1.2,1,1.6,1.1,1.3,0.06
Sri Lanka,2020-05-13,nowcast,1.3,1,1.6,1.1,1.4,0.04
Sri Lanka,2020-05-14,nowcast,1.3,1,1.6,1.2,1.4,0.03
Sri Lanka,2020-05-15,nowcast,1.3,1.1,1.6,1.2,1.4,0.02
Sri Lanka,2020-05-16,nowcast,1.3,1.1,1.6,1.2,1.4,0.01
Sri Lanka,2020-05-17,nowcast,1.3,1.1,1.6,1.2,1.4,0.01
Sri Lanka,2020-05-18,nowcast,1.3,1.1,1.6,1.3,1.5,0.01
Sri Lanka,2020-05-19,nowcast,1.3,1.1,1.6,1.2,1.4,0.01
Sri Lanka,2020-05-20,nowcast,1.3,1.1,1.6,1.2,1.4,0.02
Sri Lanka,2020-05-21,nowcast,1.3,1,1.5,1.2,1.4,0.04
Sri Lanka,2020-05-22,nowcast,1.2,0.9,1.5,1.1,1.3,0.09
Sri Lanka,2020-05-23,nowcast,1.1,0.9,1.4,1,1.2,0.21
Sri Lanka,2020-05-24,nowcast,1,0.8,1.3,0.9,1.1,0.45
Sri Lanka,2020-05-25,forecast,1.1,0.7,1.4,0.9,1.2,0.39
Sri Lanka,2020-05-26,forecast,1.1,0.6,1.5,0.9,1.3,0.4
Sri Lanka,2020-05-27,forecast,1.1,0.6,1.5,0.9,1.3,0.41
Sri Lanka,2020-05-28,forecast,1.1,0.6,1.6,0.9,1.3,0.39
Sri Lanka,2020-05-29,forecast,1.1,0.5,1.6,0.9,1.3,0.41
Sri Lanka,2020-05-30,forecast,1.1,0.5,1.6,0.9,1.3,0.42
Sri Lanka,2020-05-31,forecast,1.1,0.4,1.7,0.8,1.3,0.41
Sri Lanka,2020-06-01,forecast,1.1,0.5,1.8,0.8,1.3,0.42
Sri Lanka,2020-06-02,forecast,1.1,0.4,1.7,0.9,1.4,0.4
Sri Lanka,2020-06-03,forecast,1.1,0.4,1.8,0.8,1.4,0.42
Sri Lanka,2020-06-04,forecast,1.1,0.3,1.8,0.9,1.4,0.42
Sri Lanka,2020-06-05,forecast,1.1,0.3,1.9,0.8,1.4,0.42
Sri Lanka,2020-06-06,forecast,1.1,0.3,1.9,0.8,1.4,0.42
Sri Lanka,2020-06-07,forecast,1.1,0.2,1.9,0.7,1.4,0.44
Sudan,2020-04-14,nowcast,1.6,1.2,2.1,1.4,1.8,0.01
Sudan,2020-04-15,nowcast,1.6,1.2,2,1.4,1.7,0
Sudan,2020-04-16,nowcast,1.6,1.2,2,1.4,1.7,0.01
Sudan,2020-04-17,nowcast,1.5,1.2,1.9,1.4,1.7,0.01
Sudan,2020-04-18,nowcast,1.5,1.1,1.9,1.3,1.6,0.01
Sudan,2020-04-19,nowcast,1.5,1.1,1.8,1.4,1.6,0.01
Sudan,2020-04-20,nowcast,1.5,1.1,1.8,1.3,1.6,0.01
Sudan,2020-04-21,nowcast,1.4,1.1,1.7,1.3,1.5,0.01
Sudan,2020-04-22,nowcast,1.4,1.2,1.7,1.3,1.5,0
Sudan,2020-04-23,nowcast,1.4,1.1,1.7,1.3,1.5,0
Sudan,2020-04-24,nowcast,1.4,1.2,1.7,1.3,1.5,0
Sudan,2020-04-25,nowcast,1.4,1.2,1.6,1.3,1.5,0
Sudan,2020-04-26,nowcast,1.4,1.2,1.6,1.3,1.4,0
Sudan,2020-04-27,nowcast,1.4,1.1,1.6,1.3,1.5,0.01
Sudan,2020-04-28,nowcast,1.3,1.1,1.5,1.2,1.4,0
Sudan,2020-04-29,nowcast,1.3,1.1,1.5,1.2,1.4,0.01
Sudan,2020-04-30,nowcast,1.3,1.1,1.5,1.2,1.4,0.01
Sudan,2020-05-01,nowcast,1.3,1.1,1.5,1.2,1.4,0.01
Sudan,2020-05-02,nowcast,1.3,1.1,1.4,1.2,1.3,0.01
Sudan,2020-05-03,nowcast,1.3,1.1,1.4,1.2,1.3,0.01
Sudan,2020-05-04,nowcast,1.2,1.1,1.4,1.2,1.3,0.01
Sudan,2020-05-05,nowcast,1.2,1.1,1.4,1.2,1.3,0.01
Sudan,2020-05-06,nowcast,1.2,1.1,1.4,1.2,1.3,0.02
Sudan,2020-05-07,nowcast,1.2,1,1.3,1.1,1.2,0.03
Sudan,2020-05-08,nowcast,1.2,1,1.3,1.1,1.2,0.04
Sudan,2020-05-09,nowcast,1.1,1,1.3,1.1,1.2,0.04
Sudan,2020-05-10,nowcast,1.1,1,1.3,1.1,1.2,0.05
Sudan,2020-05-11,nowcast,1.1,1,1.2,1.1,1.2,0.04
Sudan,2020-05-12,nowcast,1.1,1,1.2,1.1,1.2,0.03
Sudan,2020-05-13,nowcast,1.1,1,1.2,1.1,1.2,0.02
Sudan,2020-05-14,nowcast,1.1,1,1.3,1.1,1.2,0.02
Sudan,2020-05-15,nowcast,1.1,1,1.2,1.1,1.2,0.03
Sudan,2020-05-16,nowcast,1.1,1,1.2,1.1,1.2,0.06
Sudan,2020-05-17,nowcast,1.1,1,1.2,1,1.1,0.12
Sudan,2020-05-18,nowcast,1.1,0.9,1.2,1,1.1,0.21
Sudan,2020-05-19,nowcast,1,0.9,1.1,1,1.1,0.29
Sudan,2020-05-20,nowcast,1,0.9,1.1,1,1.1,0.4
Sudan,2020-05-21,nowcast,1,0.9,1.1,1,1.1,0.49
Sudan,2020-05-22,nowcast,1,0.9,1.1,1,1,0.51
Sudan,2020-05-23,nowcast,1,0.9,1.1,1,1,0.47
Sudan,2020-05-24,nowcast,1,0.9,1.1,1,1,0.43
Sudan,2020-05-25,forecast,1,0.9,1.2,1,1.1,0.47
Sudan,2020-05-26,forecast,1,0.8,1.2,0.9,1.1,0.51
Sudan,2020-05-27,forecast,1,0.8,1.2,0.9,1.1,0.5
Sudan,2020-05-28,forecast,1,0.8,1.2,0.9,1,0.53
Sudan,2020-05-29,forecast,1,0.8,1.2,0.9,1.1,0.52
Sudan,2020-05-30,forecast,1,0.8,1.2,0.9,1.1,0.54
Sudan,2020-05-31,forecast,1,0.8,1.2,0.9,1.1,0.54
Sudan,2020-06-01,forecast,1,0.7,1.3,0.9,1.1,0.55
Sudan,2020-06-02,forecast,1,0.7,1.3,0.9,1.1,0.55
Sudan,2020-06-03,forecast,1,0.7,1.3,0.8,1.1,0.57
Sudan,2020-06-04,forecast,1,0.7,1.3,0.9,1.1,0.57
Sudan,2020-06-05,forecast,1,0.6,1.3,0.8,1.1,0.58
Sudan,2020-06-06,forecast,1,0.6,1.3,0.8,1.1,0.58
Sudan,2020-06-07,forecast,1,0.6,1.3,0.8,1.1,0.59
Sweden,2020-02-28,nowcast,1.8,1.4,2.3,1.6,2,0
Sweden,2020-02-29,nowcast,1.8,1.4,2.3,1.6,1.9,0
Sweden,2020-03-01,nowcast,1.7,1.3,2.2,1.5,1.9,0
Sweden,2020-03-02,nowcast,1.7,1.3,2.1,1.5,1.8,0
Sweden,2020-03-03,nowcast,1.6,1.3,2,1.5,1.7,0
Sweden,2020-03-04,nowcast,1.6,1.3,1.9,1.4,1.7,0
Sweden,2020-03-05,nowcast,1.5,1.2,1.8,1.4,1.7,0
Sweden,2020-03-06,nowcast,1.5,1.2,1.7,1.4,1.6,0
Sweden,2020-03-07,nowcast,1.4,1.2,1.7,1.3,1.5,0
Sweden,2020-03-08,nowcast,1.4,1.2,1.6,1.3,1.5,0
Sweden,2020-03-09,nowcast,1.4,1.1,1.6,1.3,1.4,0
Sweden,2020-03-10,nowcast,1.3,1.1,1.5,1.2,1.4,0
Sweden,2020-03-11,nowcast,1.3,1.1,1.4,1.2,1.3,0
Sweden,2020-03-12,nowcast,1.3,1.1,1.4,1.2,1.3,0.01
Sweden,2020-03-13,nowcast,1.2,1.1,1.4,1.2,1.3,0.01
Sweden,2020-03-14,nowcast,1.3,1.1,1.4,1.2,1.3,0
Sweden,2020-03-15,nowcast,1.3,1.1,1.4,1.2,1.3,0
Sweden,2020-03-16,nowcast,1.3,1.2,1.4,1.2,1.3,0
Sweden,2020-03-17,nowcast,1.3,1.2,1.4,1.2,1.4,0
Sweden,2020-03-18,nowcast,1.3,1.2,1.5,1.2,1.3,0
Sweden,2020-03-19,nowcast,1.3,1.2,1.5,1.3,1.4,0
